transaction_id,transaction_amount,hour_of_day,country,merchant_category,days_since_last_txn,txn_velocity_24h,distance_from_home_km,new_merchant,card_present,city,bank,province,is_fraud
TXN000132,77.11,13,Canada,Online Shopping,1,1,45.5,1,1,Ottawa,TD,MB,0
TXN000133,46.38,10,USA,ATM Withdrawal,9,2,40.5,0,1,Vancouver,BMO,NB,0
TXN000134,6.13,15,Canada,Retail,2,1,21.5,1,0,Hamilton,CIBC,QC,0
TXN000135,28.16,7,Canada,Healthcare,7,4,1.4,0,1,Vancouver,Scotiabank,MB,0
TXN000136,15.06,15,Canada,Restaurant,3,3,22.2,1,1,Calgary,BMO,ON,0
TXN000137,9.13,20,USA,Grocery,5,2,12.5,1,0,Ottawa,Desjardins,SK,0
TXN000138,29.1,16,Canada,Restaurant,2,1,12.6,1,1,Winnipeg,RBC,SK,0
TXN000139,26.95,10,Canada,Utilities,2,4,23.4,0,0,Toronto,Desjardins,ON,0
TXN000140,15.08,8,Canada,Grocery,7,1,18.9,0,0,Brampton,Scotiabank,NB,0
TXN000141,11.17,9,Canada,Entertainment,4,1,3.6,1,1,Vancouver,Scotiabank,QC,0
TXN000142,28.96,22,Romania,ATM Withdrawal,0,3,190.1,1,0,Hamilton,RBC,QC,1
TXN000143,23.96,16,Canada,Retail,1,4,23.5,1,1,Mississauga,Desjardins,BC,0
TXN000144,81.75,16,Canada,Grocery,5,3,29.3,1,1,Mississauga,Desjardins,SK,0
TXN000145,5.09,14,Canada,Grocery,1,2,21.8,0,1,Mississauga,TD,QC,0
TXN000146,117.19,15,Canada,Online Shopping,9,3,1.0,0,1,Brampton,CIBC,NB,0
TXN000147,20.6,15,Canada,Grocery,6,4,17.5,0,1,Mississauga,CIBC,AB,0
TXN000148,73.37,11,Canada,Retail,9,4,17.4,0,0,Montreal,RBC,NS,0
TXN000149,14.27,10,Canada,Retail,2,3,48.8,0,1,Edmonton,CIBC,NB,0
TXN000150,43.99,11,USA,Restaurant,4,4,7.1,0,0,Toronto,TD,SK,0
TXN000151,78.11,11,Canada,Retail,6,4,14.0,0,1,Hamilton,National Bank,NS,0
TXN000152,18.05,15,Canada,Utilities,4,4,36.4,1,0,Vancouver,National Bank,BC,0
TXN000153,10.35,13,Canada,Restaurant,1,1,40.3,0,0,Brampton,CIBC,NS,0
TXN000154,20.85,13,Canada,Utilities,4,1,1.3,0,0,Mississauga,BMO,AB,0
TXN000155,110.66,14,Mexico,Retail,9,2,21.2,1,1,Calgary,TD,NB,0
TXN000156,261.25,17,Canada,Restaurant,4,2,0.2,1,0,Calgary,Desjardins,MB,0
TXN000157,319.36,9,Canada,Online Shopping,7,1,13.2,0,1,Ottawa,Scotiabank,QC,0
TXN000158,253.65,17,Canada,Retail,5,4,44.5,0,1,Edmonton,CIBC,ON,0
TXN000159,243.62,21,Mexico,Online Shopping,0,2,18.4,1,1,Calgary,CIBC,NB,0
TXN000160,86.38,11,Canada,Retail,7,4,13.9,0,1,Edmonton,TD,MB,0
TXN000161,13.6,13,Canada,Travel,6,1,17.8,1,0,Brampton,TD,SK,0
TXN000162,71.52,17,Canada,Grocery,3,4,3.6,0,1,Edmonton,RBC,ON,0
TXN000163,7.33,9,Canada,Retail,0,3,30.6,1,1,Winnipeg,Scotiabank,AB,0
TXN000164,41.48,15,UK,Entertainment,7,2,44.4,0,1,Winnipeg,National Bank,NB,0
TXN000165,59.04,10,Canada,Restaurant,9,2,42.8,0,1,Montreal,CIBC,SK,0
TXN000166,35.24,11,Canada,Gas Station,5,2,47.1,0,1,Montreal,RBC,NS,0
TXN000167,34.84,17,Canada,ATM Withdrawal,6,2,35.7,0,1,Mississauga,BMO,NB,0
TXN000168,774.72,23,Canada,Restaurant,0,7,2318.8,1,1,Brampton,TD,ON,1
TXN000169,43.47,19,Canada,Grocery,7,1,47.1,1,1,Hamilton,CIBC,QC,0
TXN000170,44.38,13,Canada,Restaurant,8,1,42.5,0,1,Montreal,CIBC,SK,0
TXN000171,160.93,10,Canada,Grocery,2,1,13.3,0,1,Ottawa,National Bank,NS,0
TXN000172,54.4,10,Canada,Grocery,7,2,0.9,1,1,Edmonton,RBC,NB,0
TXN000173,23.32,13,France,Healthcare,8,2,7.2,0,1,Edmonton,CIBC,AB,0
TXN000174,40.29,8,Canada,ATM Withdrawal,3,2,1.2,0,1,Brampton,RBC,SK,0
TXN000175,18.38,17,Canada,Retail,1,3,5.3,0,1,Mississauga,BMO,SK,0
TXN000176,89.26,10,Canada,Grocery,8,2,47.6,0,0,Ottawa,RBC,NB,0
TXN000177,129.58,16,Canada,Gas Station,3,3,23.0,0,0,Mississauga,CIBC,NB,0
TXN000178,36.41,14,Canada,Gas Station,6,3,46.2,0,0,Vancouver,CIBC,AB,0
TXN000179,70.37,10,Canada,Retail,7,1,3.7,1,1,Winnipeg,CIBC,QC,0
TXN000180,28.95,16,USA,Retail,9,3,45.4,0,1,Hamilton,TD,QC,0
TXN000181,20.93,11,USA,Restaurant,6,2,22.5,0,1,Calgary,Scotiabank,NB,0
TXN000182,50.93,15,Canada,Restaurant,7,4,20.8,0,1,Vancouver,Scotiabank,QC,0
TXN000183,39.35,10,Canada,Restaurant,4,4,12.2,0,1,Brampton,Scotiabank,QC,0
TXN000184,73.63,10,Canada,Gas Station,7,1,31.8,1,1,Edmonton,Desjardins,ON,0
TXN000185,121.09,10,Canada,ATM Withdrawal,4,3,9.0,0,0,Vancouver,TD,NS,0
TXN000186,23.68,10,Canada,Healthcare,0,3,45.4,0,1,Hamilton,National Bank,QC,0
TXN000187,36.61,12,Canada,Online Shopping,0,1,42.1,0,1,Brampton,TD,AB,0
TXN000188,18.6,12,Canada,Restaurant,3,4,24.1,1,1,Winnipeg,BMO,NB,0
TXN000189,70.36,9,Canada,Retail,7,2,15.8,1,1,Vancouver,Scotiabank,QC,0
TXN000190,25.66,15,Canada,Grocery,2,3,1.8,1,1,Toronto,BMO,ON,0
TXN000191,58.19,19,Canada,Gas Station,2,1,36.5,0,1,Toronto,National Bank,MB,0
TXN000192,9.07,16,Canada,Retail,0,1,48.4,1,1,Edmonton,National Bank,QC,0
TXN000193,31.25,19,Canada,Grocery,1,3,34.9,0,1,Mississauga,CIBC,MB,0
TXN000194,67.08,15,Canada,Gas Station,1,1,4.8,1,1,Brampton,Scotiabank,QC,0
TXN000195,437.03,15,Canada,Retail,8,2,27.3,0,1,Winnipeg,RBC,AB,0
TXN000196,93.42,13,Canada,Online Shopping,0,3,14.5,0,1,Winnipeg,TD,SK,0
TXN000197,1085.35,16,Canada,Grocery,1,1,8.4,0,1,Ottawa,RBC,ON,0
TXN000198,1056.07,11,Canada,Retail,6,4,30.4,0,0,Toronto,RBC,AB,0
TXN000199,11.46,13,Canada,Grocery,3,3,36.5,0,1,Winnipeg,Scotiabank,BC,0
TXN000200,256.49,13,Canada,Gas Station,1,1,14.7,1,1,Winnipeg,CIBC,ON,0
TXN000201,13.87,12,Canada,Online Shopping,8,1,6.1,1,1,Calgary,BMO,MB,0
TXN000202,27.89,15,Canada,ATM Withdrawal,1,3,20.4,0,1,Hamilton,CIBC,AB,0
TXN000203,176.03,9,Canada,Restaurant,0,4,7.1,0,0,Edmonton,RBC,MB,0
TXN000204,46.86,17,Canada,Retail,9,4,40.4,0,1,Winnipeg,BMO,NS,0
TXN000205,49.16,14,Canada,Restaurant,9,4,16.3,0,1,Edmonton,Scotiabank,NB,0
TXN000206,120.37,8,Canada,Grocery,0,2,29.4,0,1,Toronto,Scotiabank,NB,0
TXN000207,82.79,12,Canada,Grocery,2,3,43.1,0,1,Vancouver,Desjardins,MB,0
TXN000208,165.53,13,Canada,Restaurant,9,1,48.8,0,0,Mississauga,RBC,QC,0
TXN000209,118.95,9,USA,Utilities,4,4,26.7,0,0,Winnipeg,Desjardins,SK,0
TXN000210,10.03,13,USA,Grocery,4,1,9.2,0,1,Montreal,TD,AB,0
TXN000211,1489.14,22,USA,Travel,0,10,4974.0,1,1,Mississauga,RBC,NS,1
TXN000212,166.13,11,Canada,Grocery,3,2,21.9,1,1,Ottawa,TD,SK,0
TXN000213,14.43,2,Romania,Online Shopping,1,8,1584.8,1,0,Mississauga,CIBC,ON,1
TXN000214,18.55,8,Canada,Restaurant,4,3,42.2,0,1,Brampton,Desjardins,NB,0
TXN000215,110.01,14,Canada,Grocery,3,2,10.7,1,1,Toronto,National Bank,MB,0
TXN000216,50.38,12,Canada,Grocery,2,3,14.7,0,0,Montreal,Scotiabank,ON,0
TXN000217,158.63,15,Canada,Gas Station,0,2,7.4,1,0,Toronto,National Bank,BC,0
TXN000218,40.24,19,USA,Restaurant,5,1,13.0,1,1,Calgary,TD,ON,0
TXN000219,42.74,10,Canada,Gas Station,3,4,20.5,0,0,Ottawa,National Bank,NB,0
TXN000220,32.44,17,Canada,Utilities,5,3,0.2,0,1,Toronto,BMO,QC,0
TXN000221,45.47,14,Canada,ATM Withdrawal,4,4,40.9,0,0,Toronto,TD,ON,0
TXN000222,147.15,12,Canada,Restaurant,0,1,10.2,0,0,Toronto,National Bank,NB,0
TXN000223,45.74,21,Canada,Retail,9,2,30.8,0,1,Montreal,BMO,MB,0
TXN000224,46.19,14,Canada,ATM Withdrawal,0,1,25.9,1,0,Ottawa,National Bank,NB,0
TXN000225,45.06,12,Canada,Grocery,9,4,5.3,1,1,Brampton,Desjardins,QC,0
TXN000226,29.76,10,Canada,Travel,5,2,9.1,0,1,Mississauga,TD,NB,0
TXN000227,31.29,22,Unknown,Travel,0,3,2782.6,1,1,Winnipeg,RBC,QC,1
TXN000228,102.73,9,Canada,Retail,5,4,29.9,0,1,Edmonton,CIBC,AB,0
TXN000229,29.89,13,USA,Gas Station,6,4,10.7,0,1,Hamilton,BMO,ON,0
TXN000230,59.12,14,Canada,Grocery,8,2,41.9,0,1,Calgary,National Bank,QC,0
TXN000231,129.1,16,Canada,Retail,4,1,37.8,0,1,Calgary,Desjardins,BC,0
TXN000232,10.32,13,Canada,Restaurant,0,4,39.4,0,0,Edmonton,CIBC,ON,0
TXN000233,32.2,11,Canada,Retail,5,3,40.9,0,0,Hamilton,CIBC,QC,0
TXN000234,47.89,21,Canada,Retail,2,3,32.3,0,1,Brampton,Scotiabank,BC,0
TXN000235,42.77,15,Canada,Online Shopping,8,4,37.6,0,1,Edmonton,RBC,NB,0
TXN000236,204.93,17,Canada,Online Shopping,1,3,13.8,1,1,Vancouver,RBC,SK,0
TXN000237,92.3,10,Canada,Retail,4,3,0.2,0,0,Ottawa,Desjardins,QC,0
TXN000238,32.19,22,USA,Utilities,0,7,2326.6,1,0,Montreal,RBC,QC,1
TXN000239,67.39,15,Canada,ATM Withdrawal,9,1,1.1,0,1,Hamilton,TD,MB,0
TXN000240,57.27,14,Canada,Gas Station,0,4,33.4,1,1,Toronto,TD,BC,0
TXN000241,20.02,12,Canada,Entertainment,1,1,40.6,0,1,Ottawa,Scotiabank,ON,0
TXN000242,133.09,11,Canada,Restaurant,0,4,20.0,0,1,Mississauga,Scotiabank,NB,0
TXN000243,39.26,16,Canada,Restaurant,4,2,31.5,1,1,Toronto,TD,AB,0
TXN000244,88.12,8,Canada,Retail,6,3,10.2,0,0,Hamilton,National Bank,MB,0
TXN000245,168.59,8,Canada,Online Shopping,1,1,3.5,0,0,Toronto,BMO,MB,0
TXN000246,22.88,13,Canada,Restaurant,9,4,4.4,0,1,Montreal,CIBC,AB,0
TXN000247,208.35,11,Canada,Travel,2,2,46.0,0,1,Toronto,BMO,NS,0
TXN000248,120.01,10,USA,Grocery,5,2,22.8,1,1,Edmonton,Scotiabank,AB,0
TXN000249,105.13,11,Canada,Restaurant,9,2,9.3,0,1,Hamilton,TD,MB,0
TXN000250,47.82,14,Canada,Grocery,5,1,24.4,0,0,Brampton,Desjardins,QC,0
TXN000251,32.88,11,Canada,Restaurant,6,3,38.1,0,1,Winnipeg,Scotiabank,ON,0
TXN000252,11.34,14,Canada,Restaurant,3,1,16.1,0,1,Vancouver,Scotiabank,QC,0
TXN000253,60.81,11,Canada,Retail,4,1,36.4,1,1,Vancouver,Desjardins,MB,0
TXN000254,47.75,11,Canada,Grocery,6,4,5.7,1,0,Mississauga,RBC,NB,0
TXN000255,35.48,13,Canada,Healthcare,5,4,7.0,0,1,Toronto,National Bank,MB,0
TXN000256,31.76,7,Canada,Retail,1,4,20.0,0,1,Mississauga,CIBC,BC,0
TXN000257,58.83,8,Canada,Grocery,6,1,9.1,0,1,Ottawa,BMO,ON,0
TXN000258,49.05,12,Canada,Gas Station,7,4,18.9,0,1,Mississauga,RBC,NB,0
TXN000259,474.51,3,Romania,ATM Withdrawal,0,8,2850.2,1,0,Hamilton,Desjardins,MB,1
TXN000260,28.21,9,Canada,ATM Withdrawal,2,4,26.7,0,1,Edmonton,Scotiabank,QC,0
TXN000261,81.51,8,Canada,Gas Station,7,4,16.4,0,0,Winnipeg,BMO,AB,0
TXN000262,93.48,8,Canada,Restaurant,5,2,15.9,0,1,Vancouver,RBC,NS,0
TXN000263,35.48,10,USA,Restaurant,0,1,46.0,0,1,Brampton,TD,BC,0
TXN000264,156.23,16,Canada,Restaurant,8,1,32.5,0,1,Vancouver,Desjardins,AB,0
TXN000265,41.26,14,France,Grocery,1,2,18.6,0,1,Edmonton,Scotiabank,NS,0
TXN000266,26.06,10,Canada,Utilities,5,3,10.7,1,0,Hamilton,CIBC,AB,0
TXN000267,32.45,10,Canada,ATM Withdrawal,8,2,15.2,0,1,Ottawa,Desjardins,AB,0
TXN000268,67.65,8,Canada,Retail,8,3,34.6,0,1,Montreal,BMO,BC,0
TXN000269,19.96,14,Canada,Grocery,3,1,22.7,0,0,Winnipeg,Desjardins,BC,0
TXN000270,58.76,14,Canada,Healthcare,5,1,33.8,1,1,Ottawa,RBC,AB,0
TXN000271,41.07,13,Canada,Grocery,3,1,13.9,0,1,Ottawa,Scotiabank,AB,0
TXN000272,34.75,14,Canada,Grocery,6,4,16.9,0,0,Mississauga,BMO,SK,0
TXN000273,56.44,14,Canada,Travel,0,4,33.3,1,1,Edmonton,TD,SK,0
TXN000274,127.8,12,UK,Entertainment,1,1,45.7,0,1,Montreal,CIBC,ON,0
TXN000275,62.42,13,Canada,Grocery,7,1,16.2,1,1,Mississauga,TD,AB,0
TXN000276,30.79,8,Canada,Travel,9,2,30.9,0,1,Brampton,Scotiabank,MB,0
TXN000277,75.74,10,USA,Utilities,1,1,45.1,0,1,Montreal,Scotiabank,SK,0
TXN000278,46.66,7,Canada,Gas Station,1,3,10.3,1,0,Calgary,CIBC,QC,0
TXN000279,12.92,9,Canada,Retail,9,1,21.4,0,1,Edmonton,CIBC,ON,0
TXN000280,41.7,20,France,ATM Withdrawal,0,2,8.8,1,1,Vancouver,RBC,SK,0
TXN000281,107.39,11,UK,Grocery,8,4,47.2,0,1,Montreal,Scotiabank,MB,0
